;geometry;Cont_ID;I1;I1_1;I1_1_1;I1_1_2;I1_1_3;I1_2;I1_2_1;I1_2_2;I1_2_3;I2;I2_1;I2_1_1;I2_1_2;I2_1_3;I2_2;I2_2_1;I2_2_1_1;I2_2_1_2;I2_2_1_3;I2_2_2;I2_2_3;I2_2_3_1;I2_2_3_2;I2_2_3_3;I2_2_4;I2_2_4_1;I2_2_4_2;I2_2_4_3;I2_2_1_4;I2_2_1_5;Sample;POP;POPnum;GDP;GDPnum;City;Authority;DPSVI;A_DPSVI;B_Proneness;C_DigitalS;S1_GA;S1_BS;S1_CL;S1_ED;S1_HE;S1_OS;S1_SW;S1_TM;S1_UT;S2_GA;S2_BS;S2_CL;S2_ED;S2_HE;S2_OS;S2_SW;S2_TM;S2_UT;S3_GA;S3_BS;S3_CL;S3_ED;S3_HE;S3_OS;S3_SW;S3_TM;S3_UT;S4_GA;S4_BS;S4_CL;S4_ED;S4_HE;S4_OS;S4_SW;S4_TM;S4_UT;S1;S2;S3;S4;SI_GA;SI_BS;SI_CL;SI_ED;SI_HE;SI_OS;SI_SW;SI_TM;SI_UT;SI;lat;lon
218;POINT (3.2779523468114604 49.84709796157354);bed56153-e6a1-4cf5-8a97-f0b9c5ab159f;3;3;1;4;3;2;2;4;2;2;1;1;1;3;2;3;2;4;3;2;1;1;1;2;3;4;3;4;1;1;1;50.000 - 100.000;2;20K-30K;3;Saint-Quentin;Municipality (city/town);0.371875502017046;3;3;2;2;3;3;3;3;3;3;4;4;4;3;3;4;4;4;4;3;3;4;3;4;4;4;4;4;4;4;3;3;3;3;4;3;3;3;3;3;3;4;3;4;3;3;4;4;3;4;4;3;4;49.84709796157354;3.2779523468114604
219;POINT (14.316485591070258 48.284490137154265);893045de-562c-4d07-9077-63ae24cf152d;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;4;4;4;3;4;4;3;4;4;4;1;1;100.000 - 250.000;3;> 50K;6;Linz;Municipality (city/town);0.638744543344728;1;1;1;3;1;1;1;4;3;1;4;1;1;4;1;3;3;4;4;4;1;4;4;3;4;4;3;4;4;3;2;1;1;4;1;1;4;3;1;3;3;4;2;2;2;1;4;4;3;4;4;1;3;48.284490137154265;14.316485591070258
220;POINT (6.118202202866035 52.5184846938747);59cdda77-cb9d-4d82-9278-41b29a3a519d;3;3;3;4;1;2;4;1;2;4;4;4;3;4;3;3;4;4;3;3;3;3;4;1;3;3;4;2;3;1;1;100.000 - 250.000;3;40K-50K;5;Zwolle;Municipality (city/town);0.487698906791737;2;2;2;1;1;1;1;1;1;1;2;1;3;1;1;1;3;2;1;4;1;1;3;2;3;3;2;2;4;2;1;1;1;4;4;1;1;4;1;1;2;2;1;1;1;1;2;4;1;1;4;1;1;52.5184846938747;6.118202202866035
221;POINT (4.984564902710032 51.16615388740603);2de51aa7-bddf-4f99-bcd9-d5583d390452;2;2;3;1;3;2;2;3;2;3;2;2;3;3;3;1;1;1;3;4;3;3;3;2;3;1;3;3;3;1;0; < 50.000;1;40K-50K;5;Geel;Municipality (city/town);0.39374905476468;3;3;3;2;3;1;1;1;1;1;2;3;1;2;1;1;1;1;1;2;2;2;3;3;1;1;1;3;2;3;1;2;1;1;1;1;4;3;4;2;1;2;2;1;1;1;1;1;1;3;2;3;1;51.16615388740603;4.984564902710032
222;POINT (-0.516421064647803 38.68221120761479);c77b073d-ade9-4a99-87b9-befcb8be3750;3;4;4;2;3;3;2;2;4;3;3;3;2;3;3;2;2;2;2;3;2;1;3;4;3;4;4;2;2;1;1;50.000 - 100.000;2;10K-20K;2;Alcoi;Municipality (city/town);0.434301590617307;3;3;2;4;3;3;4;1;1;4;4;1;3;3;3;4;3;3;4;3;2;1;3;1;3;3;3;3;1;3;3;2;3;3;3;3;4;3;3;3;3;2;2;3;1;2;3;3;2;4;2;2;2;38.68221120761479;-0.516421064647803
223;POINT (-2.454285685565745 42.46381744750728);e2e4f74a-07f8-4eaf-a23c-faa115e13825;1;2;1;2;3;1;2;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;4;2;2;2;3;1;1;1;100.000 - 250.000;3;20K-30K;3;Logrono;Municipality (city/town);0.248951810291424;3;3;3;2;4;3;3;4;4;3;3;4;3;3;3;2;4;3;2;4;4;1;4;4;3;4;4;4;3;3;1;2;4;3;3;3;4;3;3;3;3;4;3;1;3;4;2;4;3;3;3;4;3;42.46381744750728;-2.454285685565745
224;POINT (16.695432796881523 53.70419913709946);12bb1b41-74fe-402b-8df8-a4038a3f8498;2;1;1;2;2;2;2;2;4;2;3;3;4;2;1;1;1;2;1;1;2;1;4;1;2;2;2;2;1;1;1;250.000 - 500.000;4;10K-20K;2;Szczecin;Municipality (city/town);0.353561569217819;3;3;3;4;3;1;4;1;3;4;3;3;4;4;4;4;4;4;4;4;4;4;3;3;3;4;2;2;4;2;2;3;3;3;3;3;4;3;3;3;4;3;3;3;3;3;3;4;3;4;3;3;4;53.70419913709946;16.695432796881523
225;POINT (2.0082285979984174 41.57508376730206);56cf4863-9711-4640-bf99-31ebf0ef5f42;4;3;4;2;3;4;4;3;4;3;3;2;2;4;3;3;3;3;4;2;2;2;2;4;4;4;2;4;3;1;1;100.000 - 250.000;3;30K-40K;4;Terrassa (Barcelona);Municipality (city/town);0.459439655014104;4;3;4;4;1;1;1;1;4;1;3;4;3;2;1;1;2;2;1;1;1;4;3;2;2;2;2;2;2;3;3;2;2;1;1;1;1;4;1;3;1;2;1;4;1;1;1;1;2;1;3;2;1;41.57508376730206;2.0082285979984174
226;POINT (21.665592804735457 47.53044040507127);793dfa04-61ac-4579-8c8c-2dc0b40221fd;2;1;1;1;2;2;1;4;2;1;1;1;1;2;2;1;1;2;1;1;3;2;4;3;2;3;1;2;3;1;1;100.000 - 250.000;3;< 10K;1;Debrecen;Municipality (city/town);0.281014750585063;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;3;3;2;3;2;2;2;1;2;3;3;1;4;1;1;1;1;2;1;1;2;1;2;2;1;2;1;1;1;1;1;1;47.53044040507127;21.665592804735457
227;POINT (13.995541276166685 50.10323781837563);4adbe44d-5589-4126-9c62-ee9214ba6668;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;2;2;1;1;2;2;2;2;3;1;1;1;3;1;1;0;50.000 - 100.000;2;10K-20K;2;Zilina;Municipality (city/town);0.218904970642103;3;3;3;3;1;4;4;1;4;1;3;4;3;2;3;4;3;4;2;4;3;3;3;2;3;2;2;2;1;3;4;2;3;4;1;1;1;3;3;3;3;2;3;4;1;4;4;2;3;1;3;3;3;50.10323781837563;13.995541276166685
