;geometry;Cont_ID;I1;I1_1;I1_1_1;I1_1_2;I1_1_3;I1_2;I1_2_1;I1_2_2;I1_2_3;I2;I2_1;I2_1_1;I2_1_2;I2_1_3;I2_2;I2_2_1;I2_2_1_1;I2_2_1_2;I2_2_1_3;I2_2_2;I2_2_3;I2_2_3_1;I2_2_3_2;I2_2_3_3;I2_2_4;I2_2_4_1;I2_2_4_2;I2_2_4_3;I2_2_1_4;I2_2_1_5;Sample;POP;POPnum;GDP;GDPnum;City;Authority;DPSVI;A_DPSVI;B_Proneness;C_DigitalS;S1_GA;S1_BS;S1_CL;S1_ED;S1_HE;S1_OS;S1_SW;S1_TM;S1_UT;S2_GA;S2_BS;S2_CL;S2_ED;S2_HE;S2_OS;S2_SW;S2_TM;S2_UT;S3_GA;S3_BS;S3_CL;S3_ED;S3_HE;S3_OS;S3_SW;S3_TM;S3_UT;S4_GA;S4_BS;S4_CL;S4_ED;S4_HE;S4_OS;S4_SW;S4_TM;S4_UT;S1;S2;S3;S4;SI_GA;SI_BS;SI_CL;SI_ED;SI_HE;SI_OS;SI_SW;SI_TM;SI_UT;SI;lat;lon
240;POINT (22.29029996624286 60.49224233142962);ad77e1a4-9c82-416c-ad31-9faac15fea21;4;4;4;3;4;3;3;3;4;3;3;2;4;3;4;4;4;4;3;4;4;2;4;4;3;3;2;4;1;1;0;100.000 - 250.000;3;30K-40K;4;Turku;Municipality (city/town);0.508428494248807;4;4;2;4;3;4;1;1;1;3;3;4;3;1;2;3;4;3;3;2;3;2;3;3;1;1;1;3;2;3;1;4;4;1;1;1;1;2;1;3;2;2;2;2;3;4;1;2;1;2;2;2;2;60.49224233142962;22.29029996624286
241;POINT (20.85632279269327 39.6626532591506);d09184ae-ba92-428b-9fcf-01aa377b7f53;1;1;1;1;1;1;1;1;2;1;2;2;1;2;1;1;2;2;1;1;1;1;1;4;1;2;1;1;1;1;0;50.000 - 100.000;2;10K-20K;2;Ioannina;Municipality (city/town);0.225901552094873;3;3;3;1;3;1;1;1;1;4;3;3;3;2;2;2;3;2;2;3;3;3;3;3;2;2;2;4;4;4;3;2;3;3;3;3;3;2;3;2;2;3;1;2;2;2;1;2;1;3;2;3;2;39.6626532591506;20.85632279269327
242;POINT (7.208447425940165 51.53770447825657);7895a913-7be0-4fa4-a167-4837f5e5c94c;2;3;1;2;4;2;3;2;3;3;3;3;3;4;3;3;3;3;4;3;4;4;3;4;4;4;2;4;2;1;1;100.000 - 250.000;3;20K-30K;3;Herne;Municipality (city/town);0.436080274725955;3;3;3;3;3;3;3;4;3;3;3;3;3;4;2;2;3;4;2;3;4;1;2;2;2;2;2;2;1;2;3;3;1;3;4;4;4;3;4;3;3;1;4;2;3;1;2;3;3;3;3;4;3;51.53770447825657;7.208447425940165
243;POINT (-8.615801181190026 41.15365567186728);0239de80-512f-42f9-9dd3-4333d55dc3ca;4;4;2;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;2;3;4;4;4;4;4;4;1;100.000 - 250.000;3;10K-20K;2;Porto;Municipality (city/town);0.662858776061901;1;1;1;2;3;3;1;1;1;1;1;1;4;4;4;4;4;4;2;4;4;4;4;4;4;2;2;4;4;2;3;2;3;3;1;4;3;2;1;1;4;3;1;4;4;4;4;3;3;2;2;3;3;41.15365567186728;-8.615801181190026
244;POINT (25.596042171555972 41.891343413627304);bf131e4e-2954-4e01-a847-b1f41d788b08;1;1;1;1;2;1;1;1;2;2;1;2;1;2;2;1;1;1;3;2;3;2;3;4;2;2;1;3;3;1;0;50.000 - 100.000;2;< 10K;1;Haskovo;Municipality (city/town);0.254575888521201;3;3;3;3;3;1;1;4;3;1;4;3;3;3;4;4;3;4;3;4;3;4;4;2;3;3;4;4;4;4;3;3;1;1;1;3;1;2;3;3;4;4;1;3;4;2;2;3;4;2;4;3;3;41.891343413627304;25.596042171555972
245;POINT (-3.8332302789094355 43.46454749953364);f2a1e361-5ce6-4023-b230-84b219cbb573;3;3;3;4;2;3;1;3;4;3;3;4;1;4;2;3;4;3;3;2;1;3;3;1;3;2;3;2;2;1;1;100.000 - 250.000;3;20K-30K;3;Santander;Municipality (city/town);0.421455133141867;3;3;3;4;4;3;4;1;4;3;4;4;3;2;3;2;3;3;3;3;2;2;4;4;4;2;3;4;2;4;2;2;3;3;1;4;3;2;4;4;2;3;2;2;3;3;3;2;4;3;3;4;3;43.46454749953364;-3.8332302789094355
246;POINT (12.941305438958361 57.732085063739206);228758cf-3007-4414-8531-a534513df127;2;2;2;2;2;2;4;2;1;4;4;3;4;4;3;2;3;2;3;4;3;3;2;4;3;2;4;3;2;1;1;100.000 - 250.000;3;40K-50K;5;Boras;Municipality (city/town);0.442566494496335;2;2;3;1;3;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;4;4;3;1;1;1;3;4;3;1;1;1;4;2;2;1;1;1;1;1;2;2;1;57.732085063739206;12.941305438958361
247;POINT (16.37746383552183 48.20840505435113);404f405a-5117-4f1d-ab65-fdd1e5859773;4;4;4;4;4;3;4;3;4;4;4;3;4;4;4;4;4;4;4;4;3;3;2;4;4;4;3;4;4;4;1; > 1.000.000;6;> 50K;6;Vienna;Municipality (city/town);0.563645119580628;1;4;2;3;3;1;1;1;1;1;1;3;3;1;1;4;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;3;4;1;1;1;2;2;3;2;1;1;1;2;2;2;2;1;1;1;1;1;1;48.20840505435113;16.37746383552183
248;POINT (27.41532104058476 42.52785344597386);0a88882c-8258-4895-b231-77ca1c61d397;1;1;1;3;1;1;1;2;1;2;2;3;2;2;1;3;2;1;3;1;2;3;1;3;1;1;3;1;4;4;1;100.000 - 250.000;3;< 10K;1;Burgas;Municipality (city/town);0.258613770981877;3;3;3;1;4;1;1;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;3;2;4;4;1;4;1;1;1;1;1;2;4;4;4;4;1;2;4;2;2;4;2;3;4;4;4;42.52785344597386;27.41532104058476
249;POINT (27.775461033669043 62.99182702551678);3837d162-6778-4022-8e8c-f33b5d43705c;4;3;1;4;3;4;3;4;4;4;3;4;2;4;4;4;3;4;4;3;4;4;2;4;4;4;4;4;4;1;0;100.000 - 250.000;3;30K-40K;4;Kuopio;Municipality (city/town);0.51940250588872;1;4;4;3;3;1;1;1;1;1;3;4;1;3;3;2;1;1;2;4;3;2;4;4;3;3;3;2;4;4;2;2;3;3;1;1;1;4;4;2;2;4;1;1;2;3;2;1;1;1;4;4;2;62.99182702551678;27.775461033669043
250;POINT (11.084518155395145 43.877998331576066);38ae3e87-2f55-4878-94e8-8dfeece8bda2;4;4;3;3;4;3;2;3;4;3;2;2;3;2;4;4;4;3;4;4;2;2;2;3;3;4;2;4;4;4;1;100.000 - 250.000;3;30K-40K;4;Prato;Municipality (city/town);0.453626593773192;4;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;1;1;1;1;4;1;1;1;1;1;3;1;2;1;1;1;1;2;1;1;1;43.877998331576066;11.084518155395145
251;POINT (12.1647558197385 57.448157649880166);26beeee5-0310-40b7-85a3-abcb30fe9f63;2;2;3;1;3;1;2;1;2;2;2;2;3;3;2;1;1;2;3;2;3;3;3;4;3;4;1;4;1;1;0;50.000 - 100.000;2;30K-40K;4;Kungsbacka;Municipality (city/town);0.353543460301273;3;3;3;3;3;1;4;4;3;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;3;4;3;4;2;1;4;4;1;4;1;3;4;4;4;3;4;3;4;4;4;4;4;3;3;4;57.448157649880166;12.1647558197385
252;POINT (3.725382243566682 51.074534779832156);72777aeb-38ee-4b4a-9d3b-6a6806463100;4;2;2;3;3;4;4;4;3;4;4;3;4;4;4;4;4;4;3;4;4;4;4;4;4;3;4;3;4;1;0;250.000 - 500.000;4;40K-50K;5;Gent;Municipality (city/town);0.583595469379476;1;1;4;4;4;4;4;4;4;4;4;4;1;2;2;3;3;4;3;2;2;4;4;3;4;4;4;4;4;4;3;2;3;4;4;3;2;1;1;4;2;4;1;4;3;3;4;4;4;4;2;3;4;51.074534779832156;3.725382243566682
253;POINT (21.761910196424182 39.555540252931586);2e39331a-f5c2-40a0-a6d2-063686a6de6e;2;3;3;3;3;2;2;2;2;3;3;3;3;3;3;3;3;2;3;4;1;1;1;3;3;3;3;3;3;3;1;50.000 - 100.000;2;10K-20K;2;Trikala;Municipality (city/town);0.425170331676765;3;3;2;1;3;1;1;1;1;1;3;3;1;2;1;1;1;1;2;2;1;3;3;4;2;2;3;2;3;2;1;4;1;1;1;1;4;4;1;2;1;3;3;1;3;1;1;1;1;4;3;1;1;39.555540252931586;21.761910196424182
254;POINT (2.8350850545349346 41.98466013084889);2aa77617-b906-4196-819e-ac0eadbd9bbe;1;2;3;2;1;1;2;1;1;1;1;1;2;1;2;2;2;1;1;3;1;1;3;2;1;1;1;1;2;4;1;100.000 - 250.000;3;20K-30K;3;Girona;Municipality (city/town);0.240304419221393;3;3;3;4;4;3;1;1;4;4;4;3;3;2;2;2;3;3;2;2;2;2;3;3;3;1;3;3;2;3;4;2;3;4;3;4;4;2;3;3;2;2;4;4;2;2;3;2;4;4;2;2;3;41.98466013084889;2.8350850545349346
