geometry;Cont_ID;I1;I1_1;I1_1_1;I1_1_2;I1_1_3;I1_2;I1_2_1;I1_2_2;I1_2_3;I2;I2_1;I2_1_1;I2_1_2;I2_1_3;I2_2;I2_2_1;I2_2_1_1;I2_2_1_2;I2_2_1_3;I2_2_2;I2_2_3;I2_2_3_1;I2_2_3_2;I2_2_3_3;I2_2_4;I2_2_4_1;I2_2_4_2;I2_2_4_3;I2_2_1_4;I2_2_1_5;Sample;POP;POPnum;GDP;GDPnum;City;Authority;DPSVI;A_DPSVI;B_Proneness;C_DigitalS;S1_GA;S1_BS;S1_CL;S1_ED;S1_HE;S1_OS;S1_SW;S1_TM;S1_UT;S2_GA;S2_BS;S2_CL;S2_ED;S2_HE;S2_OS;S2_SW;S2_TM;S2_UT;S3_GA;S3_BS;S3_CL;S3_ED;S3_HE;S3_OS;S3_SW;S3_TM;S3_UT;S4_GA;S4_BS;S4_CL;S4_ED;S4_HE;S4_OS;S4_SW;S4_TM;S4_UT;S1;S2;S3;S4;SI_GA;SI_BS;SI_CL;SI_ED;SI_HE;SI_OS;SI_SW;SI_TM;SI_UT;SI
Point (14.46630742873068876 50.06682133573578852);f544f7d5-0af6-4139-8913-21e0658aef65;4;4;4;4;4;3;4;2;2;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;4;4;4;4;4;4;1; > 1.000.000;6;40K-50K;5;Prague;Municipality (city/town);0.589779936158612;1;1;2;3;3;4;3;1;1;3;2;1;3;2;4;4;1;1;3;3;3;3;2;2;2;2;2;1;3;2;3;2;3;2;3;3;4;3;2;2;2;2;2;3;1;3;3;1;1;3;3;2;2
Point (-1.65850468419368036 55.00783612647125409);91cec78d-b67c-44d8-8cae-31f68a751bf8;4;3;3;3;3;4;4;4;3;2;3;2;4;2;2;2;1;3;2;3;1;3;3;1;3;1;2;4;3;1;1;250.000 - 500.000;4;20K-30K;3;Newcastle;Municipality (city/town);0.461094388925118;4;3;1;4;4;4;1;1;4;1;4;1;4;4;2;2;3;3;4;2;2;4;4;4;4;4;4;4;4;4;2;4;4;3;3;4;3;4;4;4;2;4;4;4;4;4;3;3;4;4;4;3;4
Point (10.73947965834847196 59.98117054089684785);39e81279-dcbc-4433-b5ab-071a75b4bbb2;4;4;4;3;4;4;4;4;2;3;3;2;4;3;4;3;4;2;3;4;3;3;2;4;3;3;2;4;3;1;1;500.000 - 1.000.000;5;> 50K;6;Oslo;Municipality (city/town);0.537198838657938;4;4;1;3;3;4;1;1;3;1;3;3;3;3;2;1;2;3;1;3;2;2;3;3;2;3;4;2;3;2;4;4;4;3;1;4;3;3;3;3;2;3;4;4;3;4;1;2;4;2;3;2;3
Point (19.02288741120494109 50.21813156919476739);3749b2f2-7bd6-4451-b957-f830480244c4;2;3;3;1;4;2;2;3;2;2;2;2;2;2;2;2;3;1;3;1;3;2;4;4;2;2;1;3;2;1;1;250.000 - 500.000;4;10K-20K;2;Katowice;Municipality (city/town);0.373377377830503;3;3;3;1;4;1;1;1;4;1;1;1;4;4;1;4;4;4;1;1;4;1;3;4;4;2;3;4;4;4;4;3;3;1;1;3;3;2;3;3;3;3;3;3;4;2;3;3;4;2;1;3;3
Point (-0.73357250633542215 52.08380179258123377);19ca9846-923f-4d2e-a80f-db9f98ffc654;4;3;3;3;3;4;4;4;4;3;3;3;3;3;3;3;1;4;3;3;3;2;3;4;2;2;3;3;4;1;1;250.000 - 500.000;4;> 50K;6;Milton Keynes;Municipality (city/town);0.516393162682226;4;3;1;3;3;4;3;1;1;4;3;3;3;1;3;4;4;1;4;1;1;3;2;1;3;2;2;4;2;3;2;4;3;4;4;4;4;2;3;3;3;2;4;2;3;3;4;4;1;4;1;2;3
Point (25.42165220906737844 57.53146769935670335);322f0d08-cc6b-402c-ad81-e643fc3053cf;3;1;1;2;2;4;4;3;4;3;3;4;2;3;4;3;3;3;4;3;4;4;4;4;3;3;2;3;3;1;0; < 50.000;1;< 10K;1;Valmiera;Municipality (city/town);0.463821732569129;3;4;4;1;1;1;1;1;1;1;1;1;3;4;4;4;4;3;2;3;4;2;3;3;3;2;3;3;3;2;4;3;4;4;1;4;4;4;1;1;4;3;4;2;3;3;4;3;3;3;2;3;3
Point (-9.25043790625895568 39.09457306406753219);d2d28ff8-fad1-420e-9596-e99a06d6e67a;1;1;2;4;1;2;3;1;1;2;2;2;2;2;1;1;1;2;2;2;3;3;3;4;1;2;3;1;1;1;0; < 50.000;1;10K-20K;2;Torres Vedras;Municipality (city/town);0.325863746785621;3;3;3;4;4;4;4;4;4;4;3;1;3;3;4;3;3;2;3;3;1;3;4;4;4;4;4;4;3;3;2;3;3;4;4;4;3;2;3;4;3;4;3;3;4;4;4;4;3;3;2;2;4
Point (17.91810546733150389 50.67925490718482706);0089e2cc-ca04-400c-b0cc-083f28742eed;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;3;1;1;2;3;1;1;1;3;1;1;0;100.000 - 250.000;3;10K-20K;2;Opole;Municipality (city/town);0.17065676510989;3;3;3;1;3;3;1;1;4;1;3;1;1;4;2;4;4;4;3;3;4;4;4;4;4;3;4;4;4;4;4;4;3;3;1;4;4;2;3;2;3;4;4;3;4;3;4;3;4;4;2;3;4
Point (15.70846491571693804 50.8711090679906448);bbc9a2e8-4a7a-4b46-b1f4-310ec8cbeef4;1;1;3;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;3;1;1;1;2;1;1;0;50.000 - 100.000;2;< 10K;1;Jelenia Gora;Municipality (city/town);0.210444706238977;3;3;3;1;3;1;3;3;1;3;3;3;4;4;4;4;4;4;4;4;4;1;2;2;2;3;2;2;2;2;4;3;1;3;4;1;3;2;3;2;4;1;3;3;3;2;3;4;2;3;2;3;3
Point (16.16195646057480673 49.98138301560397423);aa787c86-4db6-487d-a2c0-2a05d0153d24;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;50.000 - 100.000;2;10K-20K;2;Slatina;Municipality (city/town);0.0651029265873017;3;3;3;4;4;4;4;4;4;4;3;4;4;2;3;4;3;3;2;2;2;4;3;2;4;3;4;4;2;2;1;1;1;4;1;1;1;4;4;4;3;3;3;2;2;2;4;3;3;2;3;4;3
