geometry;Cont_ID;I1;I1_1;I1_1_1;I1_1_2;I1_1_3;I1_2;I1_2_1;I1_2_2;I1_2_3;I2;I2_1;I2_1_1;I2_1_2;I2_1_3;I2_2;I2_2_1;I2_2_1_1;I2_2_1_2;I2_2_1_3;I2_2_2;I2_2_3;I2_2_3_1;I2_2_3_2;I2_2_3_3;I2_2_4;I2_2_4_1;I2_2_4_2;I2_2_4_3;I2_2_1_4;I2_2_1_5;Sample;POP;POPnum;GDP;GDPnum;City;Authority;DPSVI;A_DPSVI;B_Proneness;C_DigitalS;S1_GA;S1_BS;S1_CL;S1_ED;S1_HE;S1_OS;S1_SW;S1_TM;S1_UT;S2_GA;S2_BS;S2_CL;S2_ED;S2_HE;S2_OS;S2_SW;S2_TM;S2_UT;S3_GA;S3_BS;S3_CL;S3_ED;S3_HE;S3_OS;S3_SW;S3_TM;S3_UT;S4_GA;S4_BS;S4_CL;S4_ED;S4_HE;S4_OS;S4_SW;S4_TM;S4_UT;S1;S2;S3;S4;SI_GA;SI_BS;SI_CL;SI_ED;SI_HE;SI_OS;SI_SW;SI_TM;SI_UT;SI
Point (25.27154065997435595 54.69212208858676405);6b809558-bcb5-441c-aac2-b6d5932aeeee;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;1;500.000 - 1.000.000;5;20K-30K;3;Vilnius;Municipality (city/town);0.75814769431957;1;1;1;4;3;3;3;4;3;4;3;4;3;1;1;1;2;1;1;4;3;3;3;2;2;4;4;3;4;3;3;2;4;1;3;3;4;1;3;3;1;3;1;3;1;3;1;3;2;3;3;3;2
Point (12.65682370760266018 45.95373524256439879);c4dd06b9-7661-4dc9-8abc-a7bb3e997ed5;1;2;3;3;1;1;1;1;1;1;2;2;1;2;1;1;1;3;1;3;1;1;1;4;1;1;2;1;2;1;1;50.000 - 100.000;2;30K-40K;4;Pordenone;Municipality (city/town);0.277841990378448;3;3;3;3;3;3;1;4;3;3;3;1;3;2;4;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;1;3;3;3;4;2;4;4;4;3;4;4;4;3;3;4
Point (-6.75685126219192167 41.82233500033588314);e38464d9-748f-4f12-90b9-82ac8065ca65;3;4;2;4;4;2;3;1;3;3;4;4;3;3;3;3;3;1;4;2;4;4;3;4;4;3;4;4;2;1;0; < 50.000;1;10K-20K;2;Braganca;Municipality (city/town);0.487612544477128;3;2;2;2;3;3;3;3;3;3;2;3;3;3;4;4;3;4;4;3;3;4;3;4;4;4;4;4;3;4;2;3;3;3;3;4;2;3;3;2;4;4;3;2;3;3;3;3;4;3;3;3;3
Point (-0.35975223190665045 39.41983806089648112);b7deaf0d-c481-41fc-8f82-d3af212dbdec;4;4;4;4;3;3;1;3;4;4;4;4;4;4;4;4;4;3;4;3;4;4;2;4;4;4;4;4;3;4;0;500.000 - 1.000.000;5;20K-30K;3;Valencia;Municipality (city/town);0.542072956013213;1;1;2;4;4;4;1;1;4;1;4;4;3;3;2;2;3;4;3;3;3;3;4;2;2;3;4;4;4;4;4;3;3;3;4;4;3;3;3;4;2;4;4;4;4;3;2;2;4;3;4;3;4
Point (27.20438494048511657 45.6958006617263166);5d5c9261-c396-421b-8d62-cac7dae2a7b7;2;3;1;3;4;1;1;1;3;1;1;1;3;1;2;2;3;1;1;4;1;2;2;1;3;2;1;4;2;1;1;50.000 - 100.000;2;< 10K;1;Focsani;Municipality (city/town);0.301405764629569;3;3;3;1;4;1;1;1;1;1;3;4;3;4;4;4;4;1;2;4;4;2;4;2;2;3;2;2;2;3;2;4;1;1;1;1;1;4;4;3;3;2;3;2;4;2;2;3;1;1;4;4;3
Point (6.58310931179755787 53.2232759542375149);9d94ae41-ea8e-4ee6-8c94-e88c4a9a6fe9;4;3;4;2;3;3;4;3;3;3;3;3;3;2;3;2;3;2;2;4;3;4;2;3;2;1;2;4;3;1;1;100.000 - 250.000;3;40K-50K;5;Groningen;Municipality (city/town);0.46847534909943;4;3;2;4;4;1;1;1;4;1;3;1;4;2;4;4;4;3;4;2;4;3;1;1;1;1;2;1;2;1;4;4;3;1;1;4;3;3;1;3;4;1;3;4;3;2;3;3;3;3;2;2;3
Point (19.5140500856254242 40.71935755507970356);d6f8235a-c9c0-4ae6-b984-c478dc61d76c;1;1;2;3;1;1;3;1;1;1;2;2;2;2;1;2;2;1;1;2;2;2;3;2;1;1;2;1;1;1;1;100.000 - 250.000;3;< 10K;1;Fier;Municipality (city/town);0.282888069174834;3;3;3;4;1;1;1;1;1;1;4;4;3;4;3;3;1;4;3;4;3;4;4;4;4;3;4;4;4;4;3;1;1;1;1;1;1;1;1;3;3;4;1;4;2;2;2;1;3;2;3;3;3
Point (14.20365592297469348 42.45590160093542664);509d9fcf-5855-4114-9dc4-1a685d7ca848;2;3;3;3;3;1;1;1;2;1;1;1;1;2;2;1;1;2;3;2;2;1;4;2;4;4;2;4;1;1;1;100.000 - 250.000;3;20K-30K;3;Pescara;Municipality (city/town);0.291062907000407;3;3;3;4;4;1;4;1;4;4;4;4;3;2;2;3;4;3;3;3;2;4;4;4;4;4;4;4;4;4;1;1;1;1;4;1;1;4;4;4;3;4;3;4;4;2;3;4;3;4;4;4;4
Point (-8.49692688807619234 41.18509229502430458);a70eb20a-5cc9-4e0f-a150-b551b3fa3cf2;1;1;2;1;1;2;3;1;2;1;1;1;1;1;1;2;3;1;3;1;3;2;4;4;1;1;1;2;1;1;0;50.000 - 100.000;2;10K-20K;2;Valongo;Municipality (city/town);0.232073126526252;3;3;3;2;3;3;3;1;3;3;2;3;1;1;1;3;1;2;2;2;3;3;3;2;2;3;4;4;1;2;4;4;1;2;1;3;2;4;1;2;1;3;4;3;3;1;2;1;2;2;2;2;2
Point (23.69460948550523227 56.9595208400655153);506ef1de-bc89-4e9d-b238-61e1a39c4990;3;2;4;1;1;3;4;2;4;2;2;3;1;3;1;1;1;2;1;1;2;2;2;4;2;2;1;2;2;1;0; < 50.000;1;10K-20K;2;Jurmala;Municipality (city/town);0.368372031132447;3;3;3;4;3;3;1;4;3;4;4;4;3;3;3;3;3;4;4;4;3;4;4;4;4;4;4;4;4;4;4;3;3;3;4;4;3;4;4;4;3;4;4;4;4;4;3;4;4;4;4;4;4
Point (18.01235620374863089 42.71065081888633586);c3557154-6967-4382-80c6-00655815313c;2;3;2;4;2;2;2;3;2;2;3;3;2;3;2;2;3;1;2;1;2;3;1;1;2;2;2;2;1;4;0; < 50.000;1;10K-20K;2;Dubrovnik;Municipality (city/town);0.38193232768049;3;3;2;1;3;1;1;1;3;1;2;3;1;2;3;2;3;3;1;3;4;1;2;2;2;3;2;2;3;2;2;3;1;3;1;4;1;3;1;2;2;2;2;1;2;2;1;2;4;1;2;2;2
Point (11.64159611428043561 52.11646365045606899);458d37dd-001b-4c8f-addf-0e50cd12130f;1;1;1;2;3;1;1;1;2;1;1;2;2;2;1;1;1;2;1;1;1;1;2;3;2;3;1;2;1;1;1;100.000 - 250.000;3;30K-40K;4;Magdeburg;Municipality (city/town);0.245801723835577;3;3;3;3;4;3;1;4;1;1;3;3;1;4;3;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;4;4;1;1;4;4;1;3;1;3;1;1;4;3;4;1;1;2;1;1;1;1;1
Point (-4.34117332266704725 56.24458259310121377);cb8389cc-0b1a-4e2d-b1c5-c2581d3c872e;1;1;2;2;1;2;1;3;3;3;3;3;2;3;2;2;3;2;2;3;3;2;3;3;2;3;2;1;1;1;1;50.000 - 100.000;2;30K-40K;4;Stirling;Municipality (city/town);0.357432313618435;3;3;3;1;1;1;1;1;1;1;1;1;1;2;2;3;3;2;3;3;1;2;2;2;1;1;1;1;2;1;3;4;2;2;3;3;2;3;2;1;2;1;2;2;2;1;2;2;1;1;2;1;1
Point (33.40434391147579873 35.18062925180132083);bd4a575f-1e1f-4e51-adc3-7c6f0d0ba7af;1;1;1;2;1;1;1;3;1;2;3;4;1;4;2;2;3;1;1;2;4;3;3;4;1;2;2;1;1;1;1;100.000 - 250.000;3;20K-30K;3;Nicosia;Municipality (city/town);0.308716194004797;3;3;3;4;4;4;1;1;1;1;4;4;4;2;2;4;4;3;2;4;2;4;4;4;4;4;4;2;4;4;4;2;4;4;4;4;3;3;3;4;3;4;4;4;4;4;4;4;3;2;4;4;4
Point (8.29118229205362489 47.05352254313979188);cba9c8e8-d1c4-4a65-a8a9-9b096a8e61ac;2;2;2;2;2;3;3;3;2;2;3;4;1;3;1;2;2;3;3;1;3;3;3;2;2;3;2;2;2;1;1;50.000 - 100.000;2;> 50K;6;Luzern;Municipality (city/town);0.380029898892185;3;3;3;1;1;1;1;1;3;1;3;1;3;4;4;3;3;4;3;3;3;3;1;4;4;4;4;4;3;4;3;4;3;3;4;4;2;4;4;2;3;3;4;3;3;3;3;3;4;2;4;3;3
Point (5.72128971018142707 45.18232459385522048);f7c34425-3e19-47ac-a771-bcffd9611d8f;4;4;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;3;2;4;3;4;4;4;4;1;250.000 - 500.000;4;30K-40K;4;Grenoble metropolitan area;Metropolitan Area;0.599486306517556;1;1;1;4;4;4;4;4;4;4;4;4;3;3;4;3;3;4;4;3;3;4;4;4;4;4;4;4;4;4;2;3;3;3;4;4;3;3;3;4;4;4;3;4;4;4;4;4;4;4;4;4;4
Point (3.40806888761004068 50.61615482568335267);1faf2404-2554-41ea-9e5c-42dafb037892;2;3;3;2;3;2;2;2;2;2;1;2;1;2;3;3;3;2;4;3;2;1;3;3;3;3;3;3;3;1;0;50.000 - 100.000;2;20K-30K;3;Tournai;Municipality (city/town);0.362396358152333;3;3;3;4;3;1;4;1;1;4;2;1;4;4;4;4;4;4;4;4;4;3;3;3;3;2;2;3;3;2;1;1;1;4;3;1;4;3;1;4;4;3;2;4;3;3;4;3;3;4;3;3;4
Point (15.67557141073404381 56.28372025099394449);333023a8-c069-4049-a023-7d79c44b15ad;4;4;4;2;4;4;4;4;4;4;4;4;4;4;3;2;2;4;2;4;4;4;4;3;4;4;3;3;4;1;0;50.000 - 100.000;2;30K-40K;4;Karlskrona;Municipality (city/town);0.607545685075863;1;1;1;4;4;3;4;4;1;4;4;4;4;3;4;4;3;3;4;4;3;2;3;3;3;3;3;3;2;3;3;2;3;4;4;4;3;2;3;4;4;3;3;3;3;3;4;4;3;3;3;3;4
Point (-1.10715192215190972 37.92166492543060485);dda9e50b-1f85-40d8-9fb7-f672f15ccd3c;1;2;2;3;2;1;1;2;2;1;1;1;1;2;2;3;4;3;2;1;1;2;2;2;3;3;2;3;1;1;1;250.000 - 500.000;4;20K-30K;3;Murcia;Municipality (city/town);0.270320132192834;3;3;3;3;1;1;1;1;1;1;3;1;1;2;3;1;1;3;1;2;2;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;4;4;1;2;1;1;3;3;1;1;1;1;1;2;2;1;1
Point (13.60970069818051975 59.46617586137917044);bb04773f-d5d1-4b7a-96d5-df49eaf4a04b;1;1;3;2;1;1;3;1;1;1;1;2;1;2;1;1;1;1;1;2;1;2;1;3;1;1;2;1;1;1;0;50.000 - 100.000;2;30K-40K;4;Karlstad;Municipality (city/town);0.255110590605382;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
Point (15.62765329162769312 46.56318254678024715);e384f4f9-cc1f-467c-869d-d6cc40dd9f01;1;1;3;1;1;1;2;1;1;1;2;2;1;2;1;3;4;1;4;1;3;1;4;3;1;1;1;1;2;1;0;100.000 - 250.000;3;10K-20K;2;Maribor;Municipality (city/town);0.277599930876585;3;3;3;1;1;1;1;1;1;1;1;1;3;1;2;2;2;3;3;2;2;3;3;3;2;2;4;3;3;4;4;1;1;1;1;1;1;4;4;1;2;3;3;3;1;1;1;1;2;2;3;4;2
Point (25.02066084311153915 60.22280481501531568);66c0311f-4d76-435f-8c6c-a8113ee37626;4;4;4;4;3;4;4;4;3;4;4;4;3;4;4;4;3;4;4;4;4;4;3;4;4;4;4;3;4;4;1;500.000 - 1.000.000;5;> 50K;6;Helsinki;Municipality (city/town);0.63116986600228;1;1;1;4;4;1;1;1;1;1;4;4;4;4;1;1;1;1;1;4;4;4;4;2;3;3;3;2;4;4;4;4;1;1;1;1;1;3;3;3;1;4;1;4;4;1;1;1;1;1;4;4;2
Point (-0.52264082246562404 39.41772735134081529);dd7d5142-214a-42fa-9583-f54f5b9f57bf;3;4;4;2;3;2;3;2;3;2;2;2;2;2;3;4;3;2;4;1;3;2;2;4;3;3;2;4;3;4;1;50.000 - 100.000;2;20K-30K;3;Torrent;Municipality (city/town);0.410690340971438;3;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;4;4;3;3;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4
Point (4.83635157262505544 45.75467587347618803);0bc82e8f-4a4d-4be9-9f14-9a0ac5da621e;4;3;3;2;4;4;4;4;3;3;2;2;2;3;4;4;4;3;4;2;3;4;2;4;4;4;3;4;4;4;1; > 1.000.000;6;40K-50K;5;Lyon metropolitan area;Metropolitan Area;0.525499061549153;4;4;1;3;3;1;3;1;1;3;1;3;4;2;3;3;1;1;4;1;1;4;3;3;3;2;2;3;1;3;4;1;4;4;1;1;4;1;1;2;1;3;2;4;1;4;3;1;1;4;1;1;2
Point (12.2390063156275648 55.65911195559601765);ce61f923-2e16-49ea-9538-60f8a6d8d3f3;4;2;3;3;1;4;4;4;3;3;3;3;3;2;2;4;4;3;2;3;2;2;1;4;1;1;4;1;2;4;1;50.000 - 100.000;2;> 50K;6;Hoje-Taastrup;Municipality (city/town);0.46457330159628;4;3;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;1;1;1;1;1;4;1;1;1;1;3;2;2;1;1;1;1;1;1;1;1
Point (8.75426046105234157 51.73018330681303212);9f13f0f0-5aa1-410f-8b21-3e4bb85c4019;3;4;4;3;4;3;2;4;2;1;1;1;3;1;2;3;4;3;3;2;2;1;3;4;2;2;2;2;2;1;1;100.000 - 250.000;3;30K-40K;4;Paderborn;Municipality (city/town);0.372942348591858;3;3;2;2;3;3;1;4;3;4;3;4;3;3;4;3;4;4;4;3;3;3;4;4;4;4;4;4;4;4;2;2;4;3;4;3;3;2;4;3;4;4;3;2;3;4;4;4;4;4;3;4;4
Point (0.26650004283028467 50.77688495544250458);2e222c89-6da2-4c9d-87be-fb04783a429b;2;2;3;2;2;2;2;3;1;1;1;2;2;2;1;1;1;2;1;3;1;1;1;2;1;1;2;1;1;1;1;100.000 - 250.000;3;20K-30K;3;Eastbourne;District/Parish/Ward;0.319601383859197;3;3;3;4;1;4;1;1;4;4;4;1;3;3;2;1;2;2;3;4;4;3;3;4;3;2;2;3;4;2;3;2;2;3;4;4;3;3;1;4;2;3;3;3;2;3;1;4;4;3;4;2;3
Point (6.14222278227936425 46.20576805846789625);44497d16-5a0c-4e30-b456-f9f29fe60d28;3;3;4;2;2;3;3;2;3;1;1;1;1;2;1;2;1;2;1;1;2;2;1;4;2;3;2;2;1;4;1;100.000 - 250.000;3;> 50K;6;Geneve;Municipality (city/town);0.32170032051282;3;3;3;4;3;1;1;1;4;3;3;4;4;4;4;4;4;4;4;4;4;3;3;3;3;4;4;3;3;3;4;3;4;3;3;4;3;4;3;3;4;3;4;4;3;4;3;3;4;4;4;4;4
Point (13.01836287838601791 55.56610453477372147);c673ca8b-a2a0-4199-aab6-325de9a5bb82;2;2;1;2;4;2;1;3;2;4;4;4;4;3;3;2;2;3;3;4;2;2;1;4;4;4;4;4;2;1;1;250.000 - 500.000;4;30K-40K;4;Malmo;Municipality (city/town);0.455045796523738;2;2;3;4;4;4;4;4;4;4;3;4;4;2;1;1;1;3;2;4;4;3;3;4;4;4;4;4;3;4;4;3;3;3;4;4;3;4;4;4;2;4;4;4;3;2;2;3;4;3;4;4;4
Point (21.20191688171917832 45.76444190216354002);1519f456-03ae-43ab-8a97-0c64c4c1996d;1;1;1;2;2;2;2;2;4;2;2;3;2;2;2;3;3;2;4;2;1;1;1;2;2;3;2;2;3;1;1;250.000 - 500.000;4;10K-20K;2;Timisoara;Municipality (city/town);0.326969208992034;3;3;3;3;1;1;1;1;1;1;1;1;4;3;4;4;4;4;4;4;4;4;3;2;2;2;2;2;2;3;2;3;1;1;1;1;1;3;2;1;4;2;1;3;3;3;3;3;3;3;2;3;3
Point (2.16652391931907085 48.73585749743656947);c562d21e-999b-4f87-8df4-9a83f03ee906;3;3;2;2;3;3;2;4;2;3;4;4;3;4;3;2;1;2;2;2;4;4;4;3;3;4;3;3;2;4;1;250.000 - 500.000;4;40K-50K;5;Paris-Saclay;Unions of municipalities/Mountain communities;0.478685441583879;3;2;3;4;4;1;4;1;4;1;4;4;3;4;4;4;3;4;2;4;4;4;4;3;4;3;4;3;4;4;2;1;1;1;1;4;1;4;3;4;4;4;2;3;4;2;4;2;4;1;4;4;4
Point (-8.29296420167483639 41.44418962435684506);7e7ec6f4-9281-4615-8f8f-d3ea62783cd5;4;4;4;4;3;4;4;4;4;4;4;3;4;4;4;3;4;3;3;4;4;4;4;4;4;4;4;3;4;1;1;100.000 - 250.000;3;10K-20K;2;Guimaraes;Municipality (city/town);0.622846048661307;1;1;1;3;3;1;4;3;3;3;3;1;1;2;1;2;3;3;4;3;1;3;2;2;3;3;2;3;3;2;3;2;2;4;3;3;2;3;2;3;2;2;2;2;1;1;3;3;2;2;3;1;2
Point (25.61353912754242756 42.40659418761901378);9a3f4332-7a62-48ab-b639-f26afe727fd4;1;1;1;3;1;2;2;2;3;2;3;3;3;2;2;3;3;3;3;1;2;3;3;1;1;1;2;1;4;4;0;100.000 - 250.000;3;< 10K;1;Stara Zagora;Municipality (city/town);0.332258412118246;3;3;3;3;1;1;1;1;1;1;2;1;3;4;3;4;1;4;2;1;2;3;3;3;3;4;4;3;3;3;3;3;3;4;3;3;2;1;3;1;2;3;2;2;3;2;4;2;3;2;1;2;2
Point (10.15699783569668746 56.162567235537459);0ed09e1e-5143-47bd-9185-e528ea7a9a21;4;4;4;4;4;4;4;4;4;4;4;4;3;3;4;3;3;4;3;3;4;4;4;1;4;3;4;4;4;1;1;250.000 - 500.000;4;40K-50K;5;Aarhus;Municipality (city/town);0.61766506724258;1;4;1;1;1;1;1;1;1;1;2;3;4;2;2;2;4;3;2;4;4;2;1;1;1;1;1;1;2;3;4;2;4;2;3;1;2;4;4;1;3;1;3;3;1;2;1;3;1;1;3;3;2
Point (21.24201850339716202 48.9935766901208396);0d26540b-862b-4924-b5ec-4ccfc4bafbd7;3;2;2;1;3;4;3;4;3;3;2;2;2;3;3;4;4;4;4;3;3;3;3;3;2;1;2;3;4;1;0;50.000 - 100.000;2;10K-20K;2;Presov;Municipality (city/town);0.435723067016725;3;3;4;1;1;4;1;1;1;1;3;1;4;4;2;2;3;3;3;3;2;3;3;3;2;2;4;3;3;2;1;1;4;1;1;1;4;3;3;2;3;3;3;1;2;4;1;2;2;4;3;2;2
Point (27.88298589852957221 43.19949220446464011);c93edcfa-1528-43d0-b477-08c7b1861aa2;2;2;2;1;2;3;3;4;1;1;1;1;3;1;1;2;3;3;1;2;1;1;1;1;1;1;2;2;3;1;1;250.000 - 500.000;4;< 10K;1;Varna;Municipality (city/town);0.314885863132646;3;3;3;1;1;1;1;1;3;1;3;1;4;4;3;3;1;4;4;4;1;4;4;4;4;3;4;4;4;4;3;2;3;1;1;4;2;2;3;2;3;4;2;4;3;3;3;1;4;4;4;1;3
Point (16.99629066085609708 51.1276052994096446);89eae09e-bcd9-4885-bae0-3d3e4cfb922b;3;1;1;3;2;4;4;2;4;3;3;4;3;3;3;3;2;4;3;2;3;3;4;3;3;2;3;3;4;1;1;500.000 - 1.000.000;5;20K-30K;3;Wroclaw;Municipality (city/town);0.450453015326177;3;3;4;1;3;1;1;1;1;1;2;1;3;3;2;2;3;4;3;3;2;1;3;2;2;2;4;2;3;2;1;4;1;1;1;4;1;4;1;1;3;2;2;1;3;1;1;2;4;1;3;1;2
Point (25.28725898101154357 42.86885822265900003);08f8664d-c3b3-4426-ade1-3089462246cc;3;3;1;4;4;3;3;3;3;3;2;2;3;1;3;4;3;3;4;3;3;3;3;2;4;3;4;4;4;1;0;50.000 - 100.000;2;< 10K;1;Gabrovo;Municipality (city/town);0.426136394452724;3;3;2;4;4;4;4;4;4;4;4;1;4;4;4;3;3;4;3;4;1;4;4;2;4;4;4;2;4;2;4;2;4;4;4;4;3;2;1;4;3;3;4;4;4;4;4;4;4;3;4;1;4
Point (-8.13152773576707411 54.65978450030554825);35fca57a-7c13-482a-bb3f-4b7adce05fe7;3;2;2;3;3;3;3;4;1;4;4;4;4;4;4;3;3;3;3;3;4;3;4;4;4;4;4;3;3;4;0;100.000 - 250.000;3;20K-30K;3;Donegal;County/Province;0.528932384608855;2;1;3;2;1;1;1;1;1;1;1;1;4;4;4;4;4;4;3;4;4;4;4;4;2;2;4;1;1;2;2;4;3;4;1;3;3;4;1;1;4;3;4;3;4;4;4;3;4;2;4;3;4
Point (12.53074544663530432 44.03925315158546994);d278a827-6b7f-4d14-a358-1cd2efd437e1;1;1;2;1;2;2;3;1;2;2;1;2;1;1;2;3;4;1;3;2;2;2;1;4;1;2;3;1;3;4;1;100.000 - 250.000;3;30K-40K;4;Rimini;Municipality (city/town);0.298088530631269;3;3;3;2;3;1;1;1;3;1;3;1;4;1;2;2;1;1;1;3;1;1;2;2;2;2;2;2;1;2;3;1;4;4;1;1;1;2;1;2;1;1;2;2;1;4;3;1;1;1;1;1;1
Point (21.15196563502093596 55.70746145122231496);ec189398-6f62-45ee-8c42-7454e97685cc;2;2;3;2;1;3;2;2;4;2;2;3;1;2;2;3;2;3;3;2;2;3;2;2;1;2;1;1;4;1;0;100.000 - 250.000;3;10K-20K;2;Klaipeda;Municipality (city/town);0.363016792813667;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1
Point (8.79317494395349186 45.66284175630367059);d5d99f50-94c5-4908-bf47-1ef3257aec9a;2;2;2;1;2;2;3;1;3;1;1;2;1;2;1;1;1;2;1;2;1;1;1;3;2;2;1;3;2;1;1;50.000 - 100.000;2;30K-40K;4;Gallarate;Municipality (city/town);0.291022102897103;3;3;3;3;4;3;1;3;1;1;4;4;4;4;4;4;4;4;4;4;4;1;4;2;4;4;3;2;4;4;1;3;3;2;4;4;2;3;4;3;4;4;2;1;4;3;3;4;4;3;4;4;4
Point (-2.93738446139206344 43.25400681839098382);1f289eca-d548-41c8-8f72-e821cf426a16;3;4;2;4;4;3;2;3;3;3;4;4;4;2;3;4;3;4;4;2;3;4;2;2;4;3;4;4;3;4;1;250.000 - 500.000;4;30K-40K;4;Bilbao;Municipality (city/town);0.494134244262001;3;3;2;3;3;3;3;4;4;4;4;4;1;2;3;2;3;3;1;3;3;3;3;3;3;4;2;2;4;2;3;3;3;3;3;3;2;2;2;4;2;3;2;2;3;2;2;3;3;2;4;3;3
Point (22.10040946908760517 65.78358552079978949);baafdd85-5ce6-4010-bf36-e670fd997b45;2;3;2;3;3;1;3;2;1;2;2;2;4;3;2;1;1;2;2;4;1;2;2;2;3;3;2;3;1;1;0;50.000 - 100.000;2;40K-50K;5;Lulea;Municipality (city/town);0.359950824156553;3;3;3;1;3;1;4;4;3;4;3;3;4;2;4;4;4;4;3;4;4;1;2;3;3;3;2;2;2;2;2;2;4;4;4;3;2;2;3;3;4;2;3;1;1;4;4;4;3;2;3;3;3
Point (12.39528676214308511 43.13656537731848317);865ed675-7506-4260-9afd-ce9f8edee778;4;4;4;3;4;3;2;4;3;2;2;3;2;2;3;3;1;4;4;3;1;1;1;3;4;4;2;4;4;1;1;100.000 - 250.000;3;20K-30K;3;Perugia;Municipality (city/town);0.433004931700244;4;3;2;4;3;3;1;4;3;3;2;1;4;2;1;1;2;2;2;1;1;2;1;3;1;1;1;3;2;1;3;1;2;1;3;4;4;1;1;3;1;1;1;4;1;1;1;2;2;3;1;1;1
Point (-8.43616015295226163 41.54520296649110378);1414f9a6-af59-45dd-8aea-355e7f08f0ee;3;3;2;3;3;2;3;2;2;2;2;3;3;1;2;2;1;1;3;1;4;4;4;4;3;3;4;2;3;1;1;100.000 - 250.000;3;10K-20K;2;Braga;Municipality (city/town);0.39634582421822;3;3;2;4;3;4;1;1;3;3;2;3;3;4;3;4;4;3;3;3;4;2;3;3;1;1;1;3;2;3;2;3;3;1;1;4;2;1;4;3;4;2;2;2;3;3;3;3;3;2;2;3;3
Point (16.07981326511848508 45.67497928996220224);ad3f1897-66e5-4693-b326-acd17e208a5a;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;0;50.000 - 100.000;2;10K-20K;2;Velika gorica;Municipality (city/town);0.101516775112823;3;3;3;4;4;4;1;4;1;1;4;1;3;4;2;2;3;3;2;2;1;3;3;3;2;3;2;2;3;3;2;3;4;3;4;3;2;3;1;4;2;3;3;4;4;4;2;3;2;2;4;1;3
Point (23.61064140877963169 43.28402752952234778);88dbdbdc-9524-481e-aa61-1f979772a9d7;3;3;4;3;2;3;3;2;4;3;3;3;2;2;2;3;4;3;4;2;2;4;2;1;3;2;3;3;3;1;0;50.000 - 100.000;2;< 10K;1;Vratsa;Municipality (city/town);0.420972535741991;3;3;3;4;4;4;4;4;4;4;3;4;4;3;2;3;3;2;3;3;3;4;3;4;4;4;4;4;4;3;3;3;3;3;3;3;2;2;3;4;3;4;2;3;3;3;3;3;3;3;3;3;3
Point (-0.53719620439505333 38.38328413287843688);0499ca59-0379-46a3-b464-8bede7ed349e;3;4;4;3;3;2;2;1;3;2;2;2;3;2;2;4;4;3;3;1;2;2;1;4;3;4;2;3;4;4;1;250.000 - 500.000;4;10K-20K;2;Alicante;County/Province;0.383196130615708;3;3;2;4;4;4;4;4;4;4;4;4;4;2;4;2;3;3;3;3;3;4;3;4;4;3;3;4;3;4;4;2;4;3;4;3;3;2;4;4;3;4;4;4;3;4;4;4;4;3;2;4;4
Point (20.54924747072632485 64.8118088735396185);d6c00b28-14b0-40d7-8595-558670443d90;3;3;4;3;2;4;3;3;4;4;4;3;4;4;3;2;2;2;2;4;3;4;2;4;3;4;4;1;1;1;1;50.000 - 100.000;2;40K-50K;5;Skelleftea;Municipality (city/town);0.512342600317937;2;2;2;4;3;1;1;4;3;4;4;4;3;2;3;3;1;3;2;4;3;1;3;3;3;2;3;2;4;3;2;1;1;1;4;1;4;4;3;3;2;3;4;2;1;2;2;4;2;4;4;3;3
Point (12.55355652404689693 55.67544290747933644);4de8b685-daf6-4e3b-a1e4-0e729577a29f;4;3;1;4;4;4;2;4;2;4;3;2;4;4;4;3;3;3;1;4;3;4;3;3;3;2;4;3;3;3;1;500.000 - 1.000.000;5;> 50K;6;Copenhagen;Municipality (city/town);0.502064548724016;1;4;4;1;1;1;1;1;1;1;1;1;3;4;3;3;3;4;3;3;3;3;3;2;3;2;4;3;3;3;2;2;3;4;3;3;4;2;3;1;3;3;3;1;3;2;3;2;3;3;2;2;2
